SubledgerTransactionID,MappedAccountCode,Period,TransactionDate,DocumentNumber,Currency,DetailAmount,CostCenter
SL00000310,REF-2023-212,2025-07,2025-07-11,DOC-490586,EUR,42039.6,CC817
SL00000311,REF-2024-213,2025-07,2025-07-24,DOC-794622,USD,97458.02,CC545
SL00000312,REF-2023-214,2025-10,2025-10-22,DOC-178315,USD,23753.5,CC339
SL00000313,REF-2023-215,2026-04,2026-04-06,DOC-423284,USD,1653.8,CC562
SL00000314,REF-2023-215,2026-04,2026-04-06,DOC-585854,USD,12043.77,CC562
SL00000315,2024216,2026-06,2026-06-10,DOC-996114,USD,14917.55,CC514
SL00000316,REF-2025-217,2025-10,2025-10-16,DOC-963684,USD,4614.89,CC302
SL00000317,REF-2025-217,2025-10,2025-10-16,DOC-520040,USD,70218.15,CC302
SL00000318,REF-2024-218,2026-05,2026-05-07,DOC-235047,EUR,68659.9,CC928
SL00000319,REF-2023-219,2025-11,2025-11-27,DOC-501320,EUR,74376.74,CC130
SL00000320,REF-2023-219,2025-11,2025-11-27,DOC-816400,EUR,16140.55,CC130
SL00000321,REF-2024-220,2025-09,2025-09-28,DOC-409440,USD,17363.44,CC762
SL00000322,REF-2024-221,2026-03,2026-03-19,DOC-941134,USD,41258.02,CC745
SL00000323,REF-2025-222,2025-12,2025-12-23,DOC-383572,USD,79505.14,CC497
SL00000324,REF-2023-223,2026-04,2026-04-12,DOC-712356,USD,2703.69,CC885
SL00000325,REF-2023-224,2025-08,2025-08-01,DOC-979988,EUR,5445.54,CC463
SL00000326,REF-2023-224,2025-08,2025-08-01,DOC-986278,EUR,91603.64,CC463
SL00000327,REF-2023-224,2025-08,2025-08-01,DOC-282150,EUR,351.41,CC463
SL00000328,REF-2023-225,2025-11,2025-11-20,DOC-297377,USD,24150.02,CC676
SL00000329,REF-2023-226,2025-11,2025-11-23,DOC-491738,USD,91886.2,CC174
SL00000330,REF-2025-227,2025-09,2025-09-08,DOC-908274,EUR,58936.12,CC971
SL00000331,REF-2025-228,2026-04,2026-04-15,DOC-181586,USD,3335.04,CC863
SL00000332,REF-2023-229,2025-11,2025-11-21,DOC-378095,EUR,34746.33,CC111
SL00000333,REF-2023-230,2025-07,2025-07-15,DOC-540038,EUR,25029.13,CC850
SL00000334,REF-2023-231,2026-02,2026-02-18,DOC-573209,USD,88466.74,CC266
SL00000335,REF-2023-232,2025-06,2025-06-28,DOC-722886,USD,13598.13,CC446
SL00000336,REF-2023-232,2025-06,2025-06-28,DOC-743453,USD,16415.8,CC446
SL00000337,REF-2023-232,2025-06,2025-06-28,DOC-606186,USD,28500.62,CC446
SL00000338,REF-2023-232,2025-06,2025-06-28,DOC-838726,USD,21424.99,CC446
SL00000339,REF-2023-233,2026-05,2026-05-11,DOC-681028,EUR,43189.2,CC813
SL00000340,REF-2025-234,2026-03,2026-03-14,DOC-157152,EUR,92564.8,CC257
SL00000341,REF-2024-235,2025-07,2025-07-25,DOC-516774,USD,227.87,CC903
SL00000342,REF-2024-235,2025-07,2025-07-25,DOC-593821,USD,79.21,CC903
SL00000343,REF-2024-235,2025-07,2025-07-25,DOC-612855,USD,163.06,CC903
SL00000344,REF-2024-235,2025-07,2025-07-25,DOC-793150,USD,11.04,CC903
SL00000345,REF-2024-236,2026-03,2026-03-16,DOC-561101,USD,9204.57,CC369
SL00000346,REF-2024-237,2025-10,2025-10-26,DOC-163946,USD,27076.64,CC666
SL00000347,REF-2024-238,2026-05,2026-05-28,DOC-893969,USD,96566.21,CC223
SL00000348,REF-2024-239,2025-09,2025-09-04,DOC-757694,USD,17370.61,CC942
SL00000349,REF-2023-240,2025-10,2025-10-21,DOC-534574,EUR,43356.23,CC215
SL00000350,REF-2023-240,2025-10,2025-10-21,DOC-256911,EUR,28109.69,CC215
SL00000351,REF-2023-240,2025-10,2025-10-21,DOC-255398,EUR,5050.51,CC215
SL00000352,REF-2023-240,2025-10,2025-10-21,DOC-694116,EUR,6910.97,CC215
SL00000353,REF-2025-241,2025-08,2025-08-01,DOC-786594,USD,20050.82,CC492
SL00000354,REF-2025-241,2025-08,2025-08-01,DOC-609172,USD,38258.62,CC492
SL00000355,REF-2025-242,2025-06,2025-06-30,DOC-447596,USD,60935.32,CC505
SL00000356,REF-2025-243,2026-02,2026-02-09,DOC-415076,USD,6681.83,CC237
SL00000357,REF-2025-243,2026-02,2026-02-09,DOC-879850,USD,5035.51,CC237
SL00000358,REF-2025-243,2026-02,2026-02-09,DOC-564635,USD,4875.6,CC237
SL00000359,REF-2025-243,2026-02,2026-02-09,DOC-911630,USD,7241.23,CC237
SL00000360,201000,2025-11,2025-11-22,DOC-734366,USD,36467.09,CC292
SL00000361,200000,2026-01,2026-01-23,DOC-526949,EUR,45680.3,CC877
SL00000362,REF-2025-244,2025-07,2025-07-09,DOC-973390,USD,73834.7,CC297
SL00000363,REF-2025-244,2025-07,2025-07-09,DOC-310477,USD,2431.73,CC297
SL00000364,REF-2025-244,2025-07,2025-07-09,DOC-977633,USD,10465.75,CC297
SL00000365,REF-2023-245,2026-01,2026-01-30,DOC-229890,EUR,25024.08,CC750
SL00000366,REF-2025-246,2025-12,2025-12-18,DOC-271456,USD,3153.26,CC452
SL00000367,REF-2023-247,2026-05,2026-05-23,DOC-939767,USD,576.35,CC715
SL00000368,REF-2023-247,2026-05,2026-05-23,DOC-108874,USD,49141.83,CC715
SL00000369,REF-2023-247,2026-05,2026-05-23,DOC-334639,USD,15055.07,CC715
SL00000370,151000,2025-10,2025-10-18,DOC-420297,EUR,40273.77,CC533
SL00000371,REF-2024-248,2026-02,2026-02-01,DOC-207282,EUR,85173.46,CC698
SL00000372,REF-2023-249,2026-05,2026-05-16,DOC-440930,USD,51200.22,CC755
SL00000373,REF-2024-250,2026-06,2026-06-10,DOC-435109,EUR,26188.58,CC776
SL00000374,REF-2025-251,2025-06,2025-06-24,DOC-861842,USD,13775.83,CC451
SL00000375,REF-2025-252,2026-05,2026-05-20,DOC-202344,USD,78511.22,CC400
SL00000376,REF-2024-253,2025-10,2025-10-21,DOC-714015,USD,3955.76,CC366
SL00000377,REF-2024-253,2025-10,2025-10-21,DOC-408334,USD,6196.13,CC366
SL00000378,REF-2024-253,2025-10,2025-10-21,DOC-586288,USD,2729.73,CC366
SL00000379,131000,2025-08,2025-08-10,DOC-765213,USD,2778.48,CC583
SL00000380,REF-2023-254,2026-05,2026-05-25,DOC-529068,USD,50097.69,CC450
SL00000381,REF-2024-255,2025-09,2025-09-09,DOC-923353,USD,63140.17,CC601
SL00000382,REF-2023-256,2026-01,2026-01-19,DOC-437864,USD,12982.28,CC114
SL00000383,REF-2023-257,2025-10,2025-10-16,DOC-168458,USD,62706.02,CC271
SL00000384,REF-2023-258,2025-11,2025-11-06,DOC-886553,EUR,29890.41,CC467
SL00000385,REF-2023-259,2026-01,2026-01-03,DOC-484398,USD,16571.86,CC226
SL00000386,REF-2025-260,2025-06,2025-06-30,DOC-976735,USD,65088.98,CC769
SL00000387,REF-2023-261,2025-08,2025-08-09,DOC-819050,USD,4918.68,CC811
SL00000388,REF-2025-262,2026-01,2026-01-12,DOC-219550,USD,855.17,CC389
SL00000389,REF-2025-262,2026-01,2026-01-12,DOC-922880,USD,174.35,CC389
SL00000390,131000,2025-08,2025-08-04,DOC-309452,EUR,10012.47,CC951
SL00000391,REF-2025-263,2025-12,2025-12-11,DOC-345896,EUR,97314.66,CC438
SL00000392,REF-2023-264,2025-07,2025-07-19,DOC-152512,USD,77974.67,CC575
SL00000393,REF-2023-265,2025-07,2025-07-01,DOC-895034,USD,81336.52,CC971
SL00000394,REF-2023-266,2025-08,2025-08-20,DOC-954551,USD,1066.27,CC481
SL00000395,REF-2024-267,2026-01,2026-01-02,DOC-935620,EUR,18368.66,CC764
SL00000396,REF-2023-268,2026-06,2026-06-02,DOC-741018,EUR,11394.35,CC285
SL00000397,REF-2024-269,2026-04,2026-04-20,DOC-166412,EUR,77938.51,CC147
SL00000398,REF-2024-270,2025-06,2025-06-17,DOC-793856,USD,65531.86,CC543
